deaths,discharged,total,active,perdeath,perdis,peractive,date
334,7390,12881,5157.0,-0.029999999999999805,0.1600000000000037,-0.13000000000000256,2020-06-18
336,10386,13586,2864.0,-0.03000000000000025,0.8399999999999963,-0.8100000000000023,2020-06-19
375,9120,14516,5021.0,-0.020000000000000018,0.3300000000000054,-0.30999999999999517,2020-06-20
306,13925,15413,1182.0,-0.04999999999999982,1.3599999999999994,-1.3100000000000023,2020-06-21
445,9440,14821,4936.0,-0.009999999999999787,0.28000000000000114,-0.2700000000000031,2020-06-22
312,10994,14933,3627.0,-0.040000000000000036,0.6099999999999994,-0.5700000000000003,2020-06-23
465,10495,15968,5008.0,-0.010000000000000231,0.3299999999999983,-0.3200000000000003,2020-06-24
418,13012,16922,3492.0,-0.020000000000000018,0.7199999999999989,-0.6999999999999957,2020-06-25
407,13940,17296,2949.0,-0.029999999999999805,0.8200000000000003,-0.7899999999999991,2020-06-26
384,10244,18552,7924.0,-0.040000000000000036,-0.10999999999999943,0.14999999999999858,2020-06-27
410,13832,19906,5664.0,-0.040000000000000036,0.4200000000000017,-0.39000000000000057,2020-06-28
380,12010,19459,7069.0,-0.040000000000000036,0.10999999999999943,-0.07000000000000028,2020-06-29
418,13099,18522,5005.0,-0.020000000000000018,0.3999999999999986,-0.36999999999999744,2020-06-30
507,13157,18653,4989.0,-0.009999999999999787,0.35999999999999943,-0.35999999999999943,2020-07-01
434,11881,19148,6833.0,-0.020000000000000018,0.09000000000000341,-0.060000000000002274,2020-07-02
379,20032,20903,492.0,-0.040000000000000036,1.2099999999999937,-1.1700000000000017,2020-07-03
442,14335,22771,7994.0,-0.03000000000000025,0.0800000000000054,-0.04999999999999716,2020-07-04
613,14856,24850,9381.0,-0.020000000000000018,-0.03999999999999915,0.05999999999999517,2020-07-05
425,15350,24248,8473.0,-0.040000000000000036,0.0899999999999963,-0.04999999999999716,2020-07-06
467,15515,22252,6270.0,-0.020000000000000018,0.2700000000000031,-0.25,2020-07-07
482,16883,22752,5387.0,-0.020000000000000018,0.3999999999999986,-0.38000000000000256,2020-07-08
487,19547,24879,4845.0,-0.029999999999999805,0.5600000000000023,-0.5300000000000011,2020-07-09
475,19138,26506,6893.0,-0.029999999999999805,0.3299999999999983,-0.29999999999999716,2020-07-10
519,19870,27114,6725.0,-0.03000000000000025,0.35999999999999943,-0.3399999999999963,2020-07-11
551,19235,28637,8851.0,-0.020000000000000018,0.14999999999999858,-0.12000000000000455,2020-07-12
500,18850,28701,9351.0,-0.029999999999999805,0.09000000000000341,-0.05999999999999517,2020-07-13
553,17989,28498,9956.0,-0.020000000000000018,0.0,0.01999999999999602,2020-07-14
582,20572,29429,8275.0,-0.020000000000000018,0.21999999999999886,-0.20000000000000284,2020-07-15
606,20783,32695,11306.0,-0.03000000000000025,0.00999999999999801,0.020000000000003126,2020-07-16
687,22942,34956,11327.0,-0.020000000000000018,0.0799999999999983,-0.060000000000002274,2020-07-17
671,17994,34884,16219.0,-0.020000000000000018,-0.39000000000000057,0.4100000000000037,2020-07-18
543,23672,38902,14687.0,-0.03999999999999959,-0.0799999999999983,0.11999999999999744,2020-07-19
681,22664,40425,17080.0,-0.03000000000000025,-0.240000000000002,0.2700000000000031,2020-07-20
587,24491,37148,12070.0,-0.029999999999999805,0.10000000000000142,-0.07000000000000028,2020-07-21
648,28472,37724,8604.0,-0.020000000000000018,0.4100000000000037,-0.39000000000000057,2020-07-22
1129,29557,45720,15034.0,0.0,0.04999999999999716,-0.05000000000000426,2020-07-23
740,34602,49310,13968.0,-0.03000000000000025,0.2700000000000031,-0.23999999999999488,2020-07-24
757,32223,48916,15936.0,-0.029999999999999805,0.0899999999999963,-0.05000000000000426,2020-07-25
705,36145,48661,11811.0,-0.040000000000000036,0.38000000000000256,-0.3499999999999943,2020-07-26
708,31991,49931,17232.0,-0.03000000000000025,0.0,0.02999999999999403,2020-07-27
654,35175,47703,11874.0,-0.029999999999999805,0.3199999999999932,-0.28999999999999915,2020-07-28
768,35286,48513,12459.0,-0.020000000000000018,0.27000000000001023,-0.25,2020-07-29
775,32553,52123,18795.0,-0.020000000000000018,-0.07000000000000739,0.09000000000000341,2020-07-30
779,37223,55078,17076.0,-0.029999999999999805,0.10000000000000853,-0.0799999999999983,2020-07-31
764,36569,57118,19785.0,-0.03000000000000025,-0.010000000000005116,0.04999999999999716,2020-08-01
853,51255,54735,2627.0,-0.020000000000000018,0.9099999999999966,-0.8900000000000006,2020-08-02
771,40574,52972,11627.0,-0.020000000000000018,0.3299999999999983,-0.3100000000000023,2020-08-03
803,44306,52050,6941.0,-0.009999999999999787,0.5400000000000063,-0.5299999999999976,2020-08-04
857,51706,52509,-54.0,-0.010000000000000231,0.8799999999999955,-0.870000000000001,2020-08-05
