active,date,deaths,discharged,loc,peractive,perdeath,perdis,total
-48.0,2020-06-29,5.0,445.0,Haryana,-1.3700000000000045,-0.010000000000000009,1.3800000000000026,402.0
-213.0,2020-06-30,9.0,585.0,Haryana,-2.4099999999999966,0.019999999999999796,2.3900000000000006,381.0
-136.0,2020-07-01,4.0,470.0,Haryana,-1.6700000000000017,-0.009999999999999787,1.6799999999999926,338.0
-138.0,2020-07-02,4.0,527.0,Haryana,-1.7099999999999973,-0.010000000000000009,1.7199999999999989,393.0
37.0,2020-07-03,11.0,520.0,Haryana,-0.7900000000000027,0.010000000000000009,0.7800000000000011,568.0
-182.0,2020-07-04,4.0,672.0,Haryana,-1.9799999999999969,-0.030000000000000027,2.010000000000005,494.0
-26.0,2020-07-05,5.0,566.0,Haryana,-0.990000000000002,-0.020000000000000018,1.009999999999991,545.0
-235.0,2020-07-06,5.0,687.0,Haryana,-2.039999999999999,-0.010000000000000009,2.0500000000000114,457.0
97.0,2020-07-07,11.0,391.0,Haryana,-0.08000000000000185,0.020000000000000018,0.060000000000002274,499.0
182.0,2020-07-08,3.0,310.0,Haryana,0.40000000000000213,-0.030000000000000027,-0.37000000000000455,495.0
227.0,2020-07-09,3.0,461.0,Haryana,0.379999999999999,-0.040000000000000036,-0.3400000000000034,691.0
270.0,2020-07-10,5.0,404.0,Haryana,0.5800000000000018,-0.030000000000000027,-0.5600000000000023,679.0
168.0,2020-07-11,3.0,394.0,Haryana,0.17999999999999972,-0.030000000000000027,-0.14000000000000057,565.0
151.0,2020-07-12,7.0,490.0,Haryana,-0.019999999999999574,-0.010000000000000009,0.020000000000010232,648.0
65.0,2020-07-13,4.0,589.0,Haryana,-0.43000000000000327,-0.020000000000000018,0.45999999999999375,658.0
28.0,2020-07-14,7.0,619.0,Haryana,-0.5699999999999967,-0.010000000000000009,0.5799999999999983,654.0
242.0,2020-07-15,4.0,488.0,Haryana,0.33999999999999986,-0.030000000000000027,-0.29999999999999716,734.0
94.0,2020-07-16,7.0,577.0,Haryana,-0.2700000000000031,-0.009999999999999787,0.269999999999996,678.0
3.0,2020-03-11,0.0,0.0,Karnataka,0.0,0.0,0.0,3.0
0.0,2020-03-12,0.0,0.0,Karnataka,0.0,0.0,0.0,0.0
1.0,2020-03-13,1.0,0.0,Karnataka,-16.67,16.67,0.0,2.0
0.0,2020-03-14,0.0,0.0,Karnataka,0.0,0.0,0.0,0.0
0.0,2020-03-15,0.0,0.0,Karnataka,0.0,0.0,0.0,0.0
0.0,2020-03-16,0.0,0.0,Karnataka,0.0,0.0,0.0,0.0
5.0,2020-03-17,0.0,0.0,Karnataka,7.579999999999998,-7.580000000000002,0.0,5.0
